NUMBER,ACCREDITATION NUMBER,REGION,NAME OF FACILITY,ADDRESS (Street/Barangay),TOWN/CITY,CONTACT NO.,HOL NAME (Head Of Laboratory),EMAIL,LABORATORY EMAIL,O.R. Number,"INCORRECT
METH","INCORRECT
THC","INCORRECT 
TOTAL","RESULT: 
WITH OR WITHOUT CONCERN",RESULT: REMARKS,"REMARKS:
PASSED / FAILED",SCORE,CERTIFICATE NO. ,
1,01-1923-23-PIBS-I,1,A.G.S DIAGNOSTIC AND DRUG TESTING LABORATORY ,"149 NATIONAL ROAD, MANZON SAN CARLOS CITY, PANGASINAN ",SAN CARLOS CITY / PANGASINAN,0917-148-4286/ 075-6363-021,"FLORES, IKE MANUEL G.",marilou_ags@yahoo.com,marilou_ags@yahoo.com,5325168,3,2,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010001,HS
1,01-1092-22-PIBS-R,1,ACCURA-TECH DIAGNOSTIC LABORATORY,"CARI•O ST., POBLACION WEST (BESIDE STEPHEN'S DRUG STORE) UMINGAN CITY, PANGASINAN",UMINGAN CITY / PANGASINAN,0921-525-5607,"COLISAO, DENNIS R.",accuratech@yahoo.com,accuratech@yahoo.com,5300312,4,1,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010002,HS
1,01-1040-24-PFSS-R,1,ACULAB DRUG TESTING CENTER,"2ND FLOOR NIXEM BUILDING, ALEXANDER STREET, POBLACION, URDANETA CITY, PANGASINAN",URDANETA/PANGASINAN,0932-409-4617/ 0999-889-8629,MA. VIVIAN ABANILLA VILLAR,aculabdrugtesting@yahoo.com,aculabdrugtesting@yahoo.com,5416395,3,2,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010003,HS
1,01-0778-24-GIBS-R,1,ALAMINOS DRUG TESTING LABORATORY,"CITY HEALTH OFFICE, DON P. REINOSO STREET, POBLACION, ALAMINOS CITY, PANGASINAN",ALAMINOS/PANGASINAN,0917-650-0018,SHELDON STEVEN C AQUINO,alaminosdtl@yahoo.com,alaminosdtl@yahoo.com,5413224,1,3,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010004,HS
1,01-XXXX-XX-XXXX-X,1,ALLIANCE DIAGNOSTIC CENTER,"568 RIZAL ST., POBLACION, MANGALDAN CITY, PANGASINAN",MANGALDAN/PANGASINAN,0917-116-0596/ 0920-903-7732,SHELDON STEVEN C. AQUINO,alliancediagnosticclinic@gmail.com,alliancediagnosticclinic@gmail.com,5403285,0,1,1,,,PASSED,Excellent,SDTLPT-24-010005,E
1,01-0810-24-PFSS-R,1,AML DRUG TESTING CENTER,"ESPERANZA BLDG, 037 MARCOS AVENUE, SAN BENITO SUR, ARINGAY, LA UNION, 2503",ARINGAY CITY/LA UNION,0961-952-6092/0995-984-3382,DENNIS R. COLISAO,amlsdtl.alu@gmail.com,amlsdtl.alu@gmail.com,5419057,3,3,6,,,PASSED,Acceptable,SDTLPT-24-010006,A
1,01-1708-24-PIBS-I,1,C.A.F DIAGNOSTIC LABORATORY,"G/F CENTENO BLDG., RIZAL ST., BRGY. 6, SAN AGUSTIN, LAOAG CITY, ILOCOS NORTE",LAOAG/ILOCOS NORTE,0956-966-8464/0956,ARLENE F. CASTRO,cafdiagnosticlab@gmail.com,cafdiagnosticlab@gmail.com,5417406,3,3,6,,,PASSED,Acceptable,SDTLPT-24-010007,A
1,01-1156-24-GIBS-R,1,CANDON CITY HEALTH OFFICE,"NATIONAL HIGHWAY, CALAOAAN, CITY OF CANDON, ILOCOS SUR",CANDON/ILOCOS SUR,0953-700-1259/ 0977-845-5335,JOY P. VILLANUEVA,candoncholaboratory@gmail.com,candoncholaboratory@gmail.com,5405086,2,2,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010008,HS
1,01-1959-23-PFSS-I,1,"DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL, INC. -DAGUPAN CITY","MACARTHUR HIGHWAY, MAYOMBO DISTRICT, DAGUPAN CITY, PANGASINAN",DAGUPAN CITY / PANGASINAN,09178207949/(075)5232222,"ENRILE, MA. THERESA T.",ddvmh.laboratory@gmail.com,ddvmh.laboratory@gmail.com,5347686,2,2,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010009,HS
1,01-0703-23-PIBS-R,1,"DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL, INC. -URDANETA CITY","G/F BMV BUILDING, AMADEO PEREZ AVENUE, POBLACION, URDANETA CITY, PANGASINAN",URDANETA CITY / PANGASINAN,09236583417/(075)6560242,"ENRILE, MA. THERESA T.",ddvmh_urdaneta@yahoo.com,ddvmh_urdaneta@yahoo.com,5347685,2,3,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010010,HS
1,01-0780-24-GIBS-R,1,DEPARTMENT OF HEALTH-DRUG TREATMENT AND REHABILITATION CENTER DAGUPAN DRUG TESTING LABORATORY,"SITIO PALATONG, BONUAN BINLOC, DAGUPAN CITY, PANGASINAN",DAGUPAN CITY / PANGASINAN,9773363391,"BUSTRIA, ALLAN ERNIE C.",dtl@dtrcdagupan.doh.gov.ph,dtl@dtrcdagupan.doh.gov.ph,5360131,3,4,7,,,PASSED,Acceptable,SDTLPT-24-010011,A
1,01-0784-24-PFSS-R,1,EARL HEALTHLINES CLINICAL LABORATORY,"G/F TWIN HAVEN'S INN GOMEZ ST. ZAMORA POBLACION, MANGATAREM, PANGASINAN",MANGATAREM/PANGASINAN,0932-355-3561/ 075-932-1270,SHELDON STEVEN CADPA AQUINO,earlhealthlines@gmail.com,earlhealthlines@gmail.com,5409379,1,3,4,,,PASSED,Highly Satisfactory,SDTLPT-24-010012,HS
1,01-0838-23-PIBS-R,1,FINE LEGACY MEDICAL DIAGNOSTIC LABORATORY,3RD FLOOR EJR BLDG SADSARAN ST. POBLACION,ALAMINOS CITY / PANGASINAN,0912-113-3233,"GALVAN, GIL BRYAN B.",fine.legacyala17@gmail.com,fine.legacyala17@gmail.com,5324203,3,2,5,,,PASSED,Highly Satisfactory,SDTLPT-24-010013,HS
1,01-1304-23-PIBS-R,1,FINE PRECISION DIAGNOSTIC CLINIC,"AB FERNANDEZ WEST, POBLACION OESTE, DAGUPAN CITY, PANGASINAN",DAGUPAN CITY / PANGASINAN,0975-395-2963/ 0920-948-2425,"GALVAN, GIL BRYAN B.",fineprecisiondagupan@gmail.com,fineprecisiondagupan@gmail.com,5324202,3,3,6,,,PASSED,Acceptable,SDTLPT-24-010014,A
